"X","id","brand","category","rating","number_of_reviews","love","price","value_price","MarketingFlags","online_only","exclusive","limited_edition","limited_time_offer","has_options","has_instructions","known_ingredients","has_size","unit","pure_num","Phenoxyethanol","Glycerin","Caprylyl.Glycol","Dimethicone","Silica","Butylene.Glycol","Limonene","Tocopherol","Water","Ethylhexylglycerin","Linalool","Fragrance","Citric.Acid","Tocopheryl.Acetate","Mica","Caprylic.Capric.Triglyceride","Peg","Potassium.Sorbate","Retinyl.Palmitate","Sodium.Hyaluronate","Citronellol","Geraniol","Xanthan.Gum","PEG","log_price"
0,2218774,"Acqua Di Parma","Scents",4,4,3002,66,75,"True",1,0,0,0,0,1,1,1,"in mL",5,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4.18965474202643
1,2044816,"Acqua Di Parma","Scents",4.5,76,2700,66,66,"True",1,0,0,0,1,0,0,1,"in mL",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18965474202643
2,1417567,"Acqua Di Parma","Scents",4.5,26,2600,180,180,"True",1,0,0,0,1,0,1,1,"in mL",148,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5.19295685089021
3,1417617,"Acqua Di Parma","Scents",4.5,23,2900,120,120,"True",1,0,0,0,1,0,0,1,"in mL",74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78749174278205
4,2218766,"Acqua Di Parma","Scents",3.5,2,943,72,80,"True",1,0,0,0,0,1,1,1,"in mL",5,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4.27666611901606
5,1417609,"Acqua Di Parma","Scents",4.5,79,2600,180,180,"True",1,0,0,0,1,0,0,1,"in mL",148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19295685089021
6,1638832,"Acqua Di Parma","Scents",4.5,79,5000,210,210,"True",1,0,0,0,1,0,0,1,"in mL",101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34710753071747
7,1284462,"Acqua Di Parma","Scents",5,13,719,120,120,"True",1,0,0,0,1,0,1,1,"in mL",50,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4.78749174278205
8,2221588,"Acqua Di Parma","Scents",4,5,800,58,58,"True",1,0,0,0,1,1,1,1,"in mL",50,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4.06044301054642
9,2221596,"Acqua Di Parma","Scents",3,5,2100,58,58,"True",1,1,0,0,1,1,0,1,"in mL",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06044301054642
10,2243699,"Acqua Di Parma","Scents",3.5,3,87,120,120,"True",1,0,0,0,1,1,0,1,"in mL",75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78749174278205
11,1417633,"Acqua Di Parma","Scents",4.5,16,1900,120,120,"False",0,0,0,0,1,0,0,1,"in mL",74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78749174278205
12,1886621,"Acqua Di Parma","Scents",4.5,19,2300,142,142,"True",1,0,0,0,1,0,1,1,"in mL",50,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4.95582705760126
